engine,scenario,accounts,threads,run,tps
LEAP-base,Hotspot50,10,4,2,15845
LEAP-concat,Hotspot50,10,4,2,15603
LEAP-interleave,Hotspot50,10,4,2,15310
LEAP-base,Hotspot50,10,8,0,10429
LEAP-concat,Hotspot50,10,8,0,10635
LEAP-interleave,Hotspot50,10,8,0,10363
LEAP-base,Hotspot50,10,8,1,10564
LEAP-concat,Hotspot50,10,8,1,10330
LEAP-interleave,Hotspot50,10,8,1,10673
LEAP-base,Hotspot50,10,8,2,10740
LEAP-concat,Hotspot50,10,8,2,10418
LEAP-interleave,Hotspot50,10,8,2,10391
LEAP-base,Hotspot50,10,16,0,8329
LEAP-concat,Hotspot50,10,16,0,8340
LEAP-interleave,Hotspot50,10,16,0,8592
LEAP-base,Hotspot50,10,16,1,8494
LEAP-concat,Hotspot50,10,16,1,8476
LEAP-interleave,Hotspot50,10,16,1,8349
LEAP-base,Hotspot50,10,16,2,8475
LEAP-concat,Hotspot50,10,16,2,8456
LEAP-interleave,Hotspot50,10,16,2,8556
Serial,Hotspot50,100,1,0,4993
Serial,Hotspot50,100,1,1,4992
Serial,Hotspot50,100,1,2,4992
LEAP-base,Hotspot50,100,4,0,18614
LEAP-concat,Hotspot50,100,4,0,18334
LEAP-interleave,Hotspot50,100,4,0,18069
LEAP-base,Hotspot50,100,4,1,18376
LEAP-concat,Hotspot50,100,4,1,17919
LEAP-interleave,Hotspot50,100,4,1,17739
LEAP-base,Hotspot50,100,4,2,17983
LEAP-concat,Hotspot50,100,4,2,18265
LEAP-interleave,Hotspot50,100,4,2,18269
LEAP-base,Hotspot50,100,8,0,18549
LEAP-concat,Hotspot50,100,8,0,17884
LEAP-interleave,Hotspot50,100,8,0,17462
LEAP-base,Hotspot50,100,8,1,17180
LEAP-concat,Hotspot50,100,8,1,19334
LEAP-interleave,Hotspot50,100,8,1,19098
LEAP-base,Hotspot50,100,8,2,20346
LEAP-concat,Hotspot50,100,8,2,19458
LEAP-interleave,Hotspot50,100,8,2,20441
LEAP-base,Hotspot50,100,16,0,12462
LEAP-concat,Hotspot50,100,16,0,12125
LEAP-interleave,Hotspot50,100,16,0,12066
LEAP-base,Hotspot50,100,16,1,12329
LEAP-concat,Hotspot50,100,16,1,12335
LEAP-interleave,Hotspot50,100,16,1,12380
LEAP-base,Hotspot50,100,16,2,12489
LEAP-concat,Hotspot50,100,16,2,12768
LEAP-interleave,Hotspot50,100,16,2,12922
Serial,Hotspot50,1000,1,0,4996
Serial,Hotspot50,1000,1,1,4996
Serial,Hotspot50,1000,1,2,4995
LEAP-base,Hotspot50,1000,4,0,18193
LEAP-concat,Hotspot50,1000,4,0,14860
LEAP-interleave,Hotspot50,1000,4,0,15496
LEAP-base,Hotspot50,1000,4,1,18381
LEAP-concat,Hotspot50,1000,4,1,14977
LEAP-interleave,Hotspot50,1000,4,1,15222
LEAP-base,Hotspot50,1000,4,2,18099
LEAP-concat,Hotspot50,1000,4,2,15758
LEAP-interleave,Hotspot50,1000,4,2,15837
LEAP-base,Hotspot50,1000,8,0,20140
LEAP-concat,Hotspot50,1000,8,0,14722
LEAP-interleave,Hotspot50,1000,8,0,15230
LEAP-base,Hotspot50,1000,8,1,21118
LEAP-concat,Hotspot50,1000,8,1,14158
LEAP-interleave,Hotspot50,1000,8,1,15086
LEAP-base,Hotspot50,1000,8,2,20940
LEAP-concat,Hotspot50,1000,8,2,14688
LEAP-interleave,Hotspot50,1000,8,2,16137
LEAP-base,Hotspot50,1000,16,0,10898
LEAP-concat,Hotspot50,1000,16,0,14298
LEAP-interleave,Hotspot50,1000,16,0,14271
LEAP-base,Hotspot50,1000,16,1,10894
LEAP-concat,Hotspot50,1000,16,1,13728
LEAP-interleave,Hotspot50,1000,16,1,13896
LEAP-base,Hotspot50,1000,16,2,10888
LEAP-concat,Hotspot50,1000,16,2,14113
LEAP-interleave,Hotspot50,1000,16,2,14324
Serial,Hotspot50,10000,1,0,4995
Serial,Hotspot50,10000,1,1,4997
Serial,Hotspot50,10000,1,2,4996
LEAP-base,Hotspot50,10000,4,0,18098
LEAP-concat,Hotspot50,10000,4,0,18595
LEAP-interleave,Hotspot50,10000,4,0,19007
LEAP-base,Hotspot50,10000,4,1,18093
LEAP-concat,Hotspot50,10000,4,1,18893
LEAP-interleave,Hotspot50,10000,4,1,18923
LEAP-base,Hotspot50,10000,4,2,18196
LEAP-concat,Hotspot50,10000,4,2,18671
LEAP-interleave,Hotspot50,10000,4,2,19005
LEAP-base,Hotspot50,10000,8,0,19243
LEAP-concat,Hotspot50,10000,8,0,33435
LEAP-interleave,Hotspot50,10000,8,0,34244
LEAP-base,Hotspot50,10000,8,1,19283
